Time,Open,High,Low,Last,Change,%Chg,Volume
04/04/2024,18366.37,18427.43,18340.24,18403.13,35.41,+0.19%,0
04/03/2024,18281.82,18376.08,18281.82,18367.72,84.59,+0.46%,0
04/02/2024,18492.36,18567.16,18275.94,18283.13,-209.36,-1.13%,0
03/28/2024,18477.4,18513.83,18468.87,18492.49,15.4,+0.08%,0
03/27/2024,18385.17,18511.17,18385.17,18477.09,92.74,+0.50%,0
03/26/2024,18262.11,18411.98,18256.81,18384.35,123.04,+0.67%,0
03/25/2024,18206.36,18285.58,18176.85,18261.31,55.37,+0.30%,0
03/22/2024,18175.08,18225.97,18140.99,18205.94,26.69,+0.15%,0
03/21/2024,18019.86,18179.81,18019.86,18179.25,164.12,+0.91%,0
03/20/2024,17987.91,18044.49,17955.69,18015.13,27.64,+0.15%,0
03/19/2024,17932.18,17998.04,17914.18,17987.49,54.81,+0.31%,0
03/18/2024,17936.31,18015.49,17902.92,17932.68,-3.97,-0.02%,0
03/15/2024,17938.14,18038.11,17926.72,17936.65,-5.39,-0.03%,0
03/14/2024,18002.97,18039.05,17899.93,17942.04,-19.34,-0.11%,0
03/13/2024,17984.5,18001.42,17939.56,17961.38,-3.73,-0.02%,0
03/12/2024,17810.15,17973.22,17746.89,17965.11,218.84,+1.23%,0
03/11/2024,17690.95,17750.72,17662.55,17746.27,-68.24,-0.38%,0
03/08/2024,17849.85,17860.51,17795.13,17814.51,-28.34,-0.16%,0
03/07/2024,17648.89,17879.11,17619.4,17842.85,126.14,+0.71%,0
03/06/2024,17685.92,17745.16,17682.51,17716.71,18.31,+0.10%,0
03/05/2024,17682.78,17746.57,17643.11,17698.4,-17.77,-0.10%,0
03/04/2024,17743.44,17756.39,17684.73,17716.17,-18.9,-0.11%,0
03/01/2024,17793.47,17816.52,17690.89,17735.07,56.88,+0.32%,0
02/29/2024,17634.61,17742.48,17620.11,17678.19,76.97,+0.44%,0
02/28/2024,17569.61,17605.61,17552.98,17601.22,44.73,+0.25%,0
02/27/2024,17431.37,17563.41,17428.17,17556.49,133.26,+0.76%,0
02/26/2024,17396.74,17460.53,17396.4,17423.23,3.9,+0.02%,0
02/23/2024,17372.01,17443.74,17354.76,17419.33,48.88,+0.28%,0
02/22/2024,17326.76,17429.66,17279.73,17370.45,252.33,+1.47%,0
02/21/2024,17102.08,17157.95,17063.25,17118.12,49.69,+0.29%,0
02/20/2024,17066.23,17084.87,17019.15,17068.43,-23.83,-0.14%,0
02/19/2024,17075.74,17098.61,17049.22,17092.26,-25.18,-0.15%,0
02/16/2024,17117.37,17198.45,17060.38,17117.44,70.75,+0.42%,0
02/15/2024,17022.54,17089.12,17003.82,17046.69,101.21,+0.60%,0
