date,close,us_stock_index,eu_stock_index,de_stock_index,eu_interest_rate,de_interest_rate,us_inflation_rate,eu_inflation_rate,fed_exchange_rate
2003-01-02 00:00:00,,909.03,941.5,3105.04,3.75,4.33,1.3,2.3,1.3
2003-01-02 04:00:00,-0.0001,909.03,941.5,3105.04,3.75,4.33,1.3,2.3,1.3
2003-01-02 08:00:00,0.0006,909.03,941.5,3105.04,3.75,4.33,1.3,2.3,1.3
2003-01-02 12:00:00,-0.0021,909.03,941.5,3105.04,3.75,4.33,1.3,2.3,1.3
2003-01-02 16:00:00,-0.0107,909.03,941.5,3105.04,3.75,4.33,1.3,2.3,1.3
2003-01-02 20:00:00,0.0014,909.03,941.5,3105.04,3.75,4.33,1.3,2.3,1.3
2003-01-03 00:00:00,0.0006,908.59,928.5,3092.94,3.75,4.33,1.28,2.3,1.12
2003-01-03 04:00:00,-0.0006,908.59,928.5,3092.94,3.75,4.33,1.28,2.3,1.12
2003-01-03 08:00:00,0.0026,908.59,928.5,3092.94,3.75,4.33,1.28,2.3,1.12
2003-01-03 12:00:00,0.0006,908.59,928.5,3092.94,3.75,4.33,1.28,2.3,1.12
2003-01-03 16:00:00,0.0017,908.59,928.5,3092.94,3.75,4.33,1.28,2.3,1.12
2003-01-03 20:00:00,0.0013,908.59,928.5,3092.94,3.75,4.33,1.28,2.3,1.12
2003-01-06 00:00:00,0.0004,929.01,984.5,3157.25,3.75,4.33,1.31,2.3,1.22
2003-01-06 04:00:00,0.0002,929.01,984.5,3157.25,3.75,4.33,1.31,2.3,1.22
2003-01-06 08:00:00,0.0043,929.01,984.5,3157.25,3.75,4.33,1.31,2.3,1.22
2003-01-06 12:00:00,-0.0006,929.01,984.5,3157.25,3.75,4.33,1.31,2.3,1.22
2003-01-06 16:00:00,0.0008,929.01,984.5,3157.25,3.75,4.33,1.31,2.3,1.22
2003-01-06 20:00:00,-0.0032,929.01,984.5,3157.25,3.75,4.33,1.31,2.3,1.22
2003-01-07 00:00:00,-0.0007,922.93,947.5,3112.77,3.75,4.33,1.28,2.3,1.2
2003-01-07 04:00:00,0.0009,922.93,947.5,3112.77,3.75,4.33,1.28,2.3,1.2
2003-01-07 08:00:00,-0.0041,922.93,947.5,3112.77,3.75,4.33,1.28,2.3,1.2
2003-01-07 12:00:00,0.0025,922.93,947.5,3112.77,3.75,4.33,1.28,2.3,1.2
2003-01-07 16:00:00,-0.0021,922.93,947.5,3112.77,3.75,4.33,1.28,2.3,1.2
2003-01-07 20:00:00,-0.0007,922.93,947.5,3112.77,3.75,4.33,1.28,2.3,1.2
2003-01-08 00:00:00,0.002,909.93,877.5,2993.0,3.75,4.33,1.33,2.3,1.29
2003-01-08 04:00:00,-0.0001,909.93,877.5,2993.0,3.75,4.33,1.33,2.3,1.29
2003-01-08 08:00:00,-0.0017,909.93,877.5,2993.0,3.75,4.33,1.33,2.3,1.29
2003-01-08 12:00:00,-0.0021,909.93,877.5,2993.0,3.75,4.33,1.33,2.3,1.29
2003-01-08 16:00:00,0.0104,909.93,877.5,2993.0,3.75,4.33,1.33,2.3,1.29
2003-01-08 20:00:00,0.0011,909.93,877.5,2993.0,3.75,4.33,1.33,2.3,1.29
2003-01-09 00:00:00,0.0012,927.57,901.5,3037.68,3.75,4.33,1.41,2.3,1.29
2003-01-09 04:00:00,0.0004,927.57,901.5,3037.68,3.75,4.33,1.41,2.3,1.29
2003-01-09 08:00:00,-0.0005,927.57,901.5,3037.68,3.75,4.33,1.41,2.3,1.29
2003-01-09 12:00:00,-0.0029,927.57,901.5,3037.68,3.75,4.33,1.41,2.3,1.29
2003-01-09 16:00:00,0.001,927.57,901.5,3037.68,3.75,4.33,1.41,2.3,1.29
2003-01-09 20:00:00,-0.0005,927.57,901.5,3037.68,3.75,4.33,1.41,2.3,1.29
2003-01-10 00:00:00,-0.0006,927.57,903.5,3037.33,3.75,4.33,1.4,2.3,1.25
2003-01-10 04:00:00,0.0022,927.57,903.5,3037.33,3.75,4.33,1.4,2.3,1.25
2003-01-10 08:00:00,0.0012,927.57,903.5,3037.33,3.75,4.33,1.4,2.3,1.25
2003-01-10 12:00:00,0.0041,927.57,903.5,3037.33,3.75,4.33,1.4,2.3,1.25
2003-01-10 16:00:00,0.0002,927.57,903.5,3037.33,3.75,4.33,1.4,2.3,1.25
2003-01-10 20:00:00,0.0014,927.57,903.5,3037.33,3.75,4.33,1.4,2.3,1.25
2003-01-13 00:00:00,-0.0003,926.26,926.5,3060.65,3.75,4.33,1.4,2.3,1.26
2003-01-13 04:00:00,-0.0007,926.26,926.5,3060.65,3.75,4.33,1.4,2.3,1.26
2003-01-13 08:00:00,-0.0026,926.26,926.5,3060.65,3.75,4.33,1.4,2.3,1.26
2003-01-13 12:00:00,0.0007,926.26,926.5,3060.65,3.75,4.33,1.4,2.3,1.26
2003-01-13 16:00:00,0.0018,926.26,926.5,3060.65,3.75,4.33,1.4,2.3,1.26
2003-01-13 20:00:00,-0.0022,926.26,926.5,3060.65,3.75,4.33,1.4,2.3,1.26
2003-01-14 00:00:00,0.0003,931.66,948.5,3098.72,3.75,4.33,1.38,2.3,1.24
2003-01-14 04:00:00,0.001,931.66,948.5,3098.72,3.75,4.33,1.38,2.3,1.24
2003-01-14 08:00:00,0.0036,931.66,948.5,3098.72,3.75,4.33,1.38,2.3,1.24
2003-01-14 12:00:00,-0.0008,931.66,948.5,3098.72,3.75,4.33,1.38,2.3,1.24
2003-01-14 16:00:00,-0.0011,931.66,948.5,3098.72,3.75,4.33,1.38,2.3,1.24
2003-01-14 20:00:00,-0.0014,931.66,948.5,3098.72,3.75,4.33,1.38,2.3,1.24
2003-01-15 00:00:00,0.0004,918.22,904.5,3049.4,3.75,4.33,1.41,2.3,1.3
2003-01-15 04:00:00,-0.0016,918.22,904.5,3049.4,3.75,4.33,1.41,2.3,1.3
2003-01-15 08:00:00,-0.0022,918.22,904.5,3049.4,3.75,4.33,1.41,2.3,1.3
2003-01-15 12:00:00,0.0053,918.22,904.5,3049.4,3.75,4.33,1.41,2.3,1.3
2003-01-15 16:00:00,-0.0015,918.22,904.5,3049.4,3.75,4.33,1.41,2.3,1.3
2003-01-15 20:00:00,-0.0007,918.22,904.5,3049.4,3.75,4.33,1.41,2.3,1.3
2003-01-16 00:00:00,0.0002,914.6,888.5,3054.11,3.75,4.33,1.4,2.3,1.24
2003-01-16 04:00:00,0.0017,914.6,888.5,3054.11,3.75,4.33,1.4,2.3,1.24
2003-01-16 08:00:00,-0.0003,914.6,888.5,3054.11,3.75,4.33,1.4,2.3,1.24
2003-01-16 12:00:00,-0.0003,914.6,888.5,3054.11,3.75,4.33,1.4,2.3,1.24
2003-01-16 16:00:00,0.005,914.6,888.5,3054.11,3.75,4.33,1.4,2.3,1.24
2003-01-16 20:00:00,-0.0003,914.6,888.5,3054.11,3.75,4.33,1.4,2.3,1.24
2003-01-17 00:00:00,0.0003,901.78,792.5,2918.82,3.75,4.33,1.45,2.3,1.2
2003-01-17 04:00:00,0.0003,901.78,792.5,2918.82,3.75,4.33,1.45,2.3,1.2
2003-01-17 08:00:00,0.0037,901.78,792.5,2918.82,3.75,4.33,1.45,2.3,1.2
2003-01-17 12:00:00,0.0002,901.78,792.5,2918.82,3.75,4.33,1.45,2.3,1.2
2003-01-17 16:00:00,-0.0003,901.78,792.5,2918.82,3.75,4.33,1.45,2.3,1.2
2003-01-17 20:00:00,0.0018,901.78,792.5,2918.82,3.75,4.33,1.45,2.3,1.2
2003-01-20 00:00:00,-0.0034,901.78,786.5,2893.55,3.75,4.33,1.45,2.3,1.2
2003-01-20 04:00:00,0.0006,901.78,786.5,2893.55,3.75,4.33,1.45,2.3,1.2
2003-01-20 08:00:00,0.0015,901.78,786.5,2893.55,3.75,4.33,1.45,2.3,1.2
2003-01-20 12:00:00,0.0004,901.78,786.5,2893.55,3.75,4.33,1.45,2.3,1.2
2003-01-20 16:00:00,0.0017,901.78,786.5,2893.55,3.75,4.33,1.45,2.3,1.2
2003-01-20 20:00:00,0.001,901.78,786.5,2893.55,3.75,4.33,1.45,2.3,1.2
2003-01-21 00:00:00,-0.0036,887.62,748.5,2870.57,3.75,4.33,1.38,2.3,1.31
2003-01-21 04:00:00,-0.0016,887.62,748.5,2870.57,3.75,4.33,1.38,2.3,1.31
2003-01-21 08:00:00,0.0001,887.62,748.5,2870.57,3.75,4.33,1.38,2.3,1.31
2003-01-21 12:00:00,0.0011,887.62,748.5,2870.57,3.75,4.33,1.38,2.3,1.31
2003-01-21 16:00:00,0.008,887.62,748.5,2870.57,3.75,4.33,1.38,2.3,1.31
2003-01-21 20:00:00,-0.0006,887.62,748.5,2870.57,3.75,4.33,1.38,2.3,1.31
2003-01-22 00:00:00,0.0008,878.36,701.5,2803.25,3.75,4.33,1.34,2.3,1.26
2003-01-22 04:00:00,-0.0006,878.36,701.5,2803.25,3.75,4.33,1.34,2.3,1.26
2003-01-22 08:00:00,-0.0017,878.36,701.5,2803.25,3.75,4.33,1.34,2.3,1.26
2003-01-22 12:00:00,-0.0003,878.36,701.5,2803.25,3.75,4.33,1.34,2.3,1.26
2003-01-22 16:00:00,0.0022,878.36,701.5,2803.25,3.75,4.33,1.34,2.3,1.26
2003-01-22 20:00:00,-0.0001,878.36,701.5,2803.25,3.75,4.33,1.34,2.3,1.26
