Symbol,Time,Open,High,Low,Last,Change,%Chg,Volume,"Open Int"
FXM11,05/24/2011,1539.5,1559.5,1529.5,1543.5,1,+0.06%,1324527,2889361
FXM11,05/23/2011,1560.5,1560.5,1528.5,1542.5,-44.,-2.77%,1168681,2911077
FXM11,05/20/2011,1629.5,1644.5,1576.5,1586.5,-29.,-1.80%,1518339,2884844
FXM11,05/19/2011,1609.5,1639.5,1593.5,1615.5,19,+1.19%,1563173,2858071
FXM11,05/18/2011,1606.5,1613.5,1579.5,1596.5,11,+0.69%,1403635,2869474
FXM11,05/17/2011,1591.5,1620.5,1573.5,1585.5,-22.,-1.37%,1080175,2914737
FXM11,05/16/2011,1593.5,1618.5,1581.5,1607.5,-11.,-0.68%,1543003,2956858
FXM11,05/13/2011,1650.5,1665.5,1593.5,1618.5,-16.,-0.98%,1272184,2835909
FXM11,05/12/2011,1637.5,1654.5,1608.5,1634.5,-29.,-1.74%,1363203,2830930
FXM11,05/11/2011,1669.5,1684.5,1632.5,1663.5,7,+0.42%,1514160,2781668
FXM11,05/10/2011,1613.5,1670.5,1612.5,1656.5,35,+2.16%,1110249,2841118
FXM11,05/09/2011,1642.5,1661.5,1610.5,1621.5,-46.,-2.76%,1229118,2831398
FXM11,05/06/2011,1633.5,1673.5,1615.5,1667.5,38,+2.33%,1359917,2866150
FXM11,05/05/2011,1659.5,1662.5,1609.5,1629.5,-20.,-1.21%,1402064,2846015
FXM11,05/04/2011,1678.5,1708.5,1641.5,1649.5,-43.,-2.54%,1561108,2809250
FXM11,05/03/2011,1692.5,1702.5,1675.5,1692.5,-12.,-0.70%,1629438,2937797
FXM11,05/02/2011,1722.5,1730.5,1690.5,1704.5,7,+0.41%,1232421,2981856
FXM11,04/29/2011,1694.5,1706.5,1683.5,1697.5,6,+0.35%,595394,2999603
FXM11,04/28/2011,1690.5,1700.5,1671.5,1691.5,29,+1.74%,507107,2985929
FXM11,04/27/2011,1642.5,1688.5,1633.5,1662.5,24,+1.46%,987223,2953187
FXM11,04/26/2011,1610.5,1646.5,1607.5,1638.5,19,+1.17%,921438,2930416
FXM11,04/21/2011,1619.5,1631.5,1607.5,1619.5,24,+1.50%,606523,2925458
FXM11,04/20/2011,1564.5,1607.5,1561.5,1595.5,64,+4.18%,830690,3000162
FXM11,04/19/2011,1527.5,1552.5,1527.5,1531.5,5,+0.33%,1413206,3005722
FXM11,04/18/2011,1597.5,1598.5,1509.5,1526.5,-68.,-4.26%,920680,2994986
FXM11,04/15/2011,1596.5,1604.5,1577.5,1594.5,-2.,-0.13%,2578100,2079213
FXM11,04/14/2011,1614.5,1616.5,1576.5,1596.5,-28.,-1.72%,1190937,2033401
FXM11,04/13/2011,1618.5,1642.5,1606.5,1624.5,18,+1.12%,1318803,2024583
FXM11,04/12/2011,1627.5,1640.5,1599.5,1606.5,-46.,-2.78%,1141328,2069564
FXM11,04/11/2011,1652.5,1659.5,1637.5,1652.5,-2.,-0.12%,1372002,2018458
FXM11,04/08/2011,1659.5,1667.5,1638.5,1654.5,15,+0.91%,777949,2013903
FXM11,04/07/2011,1644.5,1668.5,1633.5,1639.5,-8.,-0.49%,974849,2462011
FXM11,04/06/2011,1633.5,1660.5,1610.5,1647.5,20,+1.23%,1248277,2628312
FXM11,04/05/2011,1639.5,1639.5,1607.5,1627.5,-7.,-0.43%,1231920,2691150
FXM11,04/04/2011,1633.5,1644.5,1623.5,1634.5,-1.,-0.06%,948691,2585038
FXM11,04/01/2011,1596.5,1639.5,1595.5,1635.5,41,+2.57%,707471,2468652
FXM11,03/31/2011,1618.5,1618.5,1579.5,1594.5,-12.,-0.75%,1108793,2633293
FXM11,03/30/2011,1612.5,1621.5,1597.5,1606.5,21,+1.32%,1144509,2651772
FXM11,03/29/2011,1586.5,1595.5,1556.5,1585.5,-2.,-0.13%,931500,2509984
FXM11,03/28/2011,1584.5,1599.5,1572.5,1587.5,-1.,-0.06%,948574,2510470
FXM11,03/25/2011,1597.5,1601.5,1575.5,1588.5,3,+0.19%,731154,2365598
FXM11,03/24/2011,1535.5,1594.5,1519.5,1585.5,48,+3.12%,807929,2378841
FXM11,03/23/2011,1521.5,1546.5,1507.5,1537.5,8,+0.52%,1463728,2752846
FXM11,03/22/2011,1539.5,1557.5,1516.5,1529.5,-1.,-0.07%,1350902,2690173
FXM11,03/21/2011,1487.5,1541.5,1485.5,1530.5,63,+4.29%,1192284,2702380
FXM11,03/18/2011,1477.5,1508.5,1451.5,1467.5,10,+0.69%,1191130,2697537
FXM11,03/17/2011,1397.5,1472.5,1395.5,1457.5,56,+4.00%,2252044,3828424
FXH11,03/16/2011,1445.5,1483.5,1341.5,1401.5,-64.,-4.37%,4396647,5109858
FXH11,03/15/2011,1463.5,1480.5,1398.5,1465.5,-61.,-4.00%,6207214,6140865
FXH11,03/14/2011,1540.5,1569.5,1515.5,1526.5,-31.,-1.99%,5607177,5407326
FXH11,03/11/2011,1553.5,1574.5,1544.5,1557.5,-23.,-1.46%,2940540,4136496
FXH11,03/10/2011,1592.5,1596.5,1560.5,1580.5,-25.,-1.56%,2057453,3495675
FXH11,03/09/2011,1607.5,1636.5,1599.5,1605.5,-10.,-0.62%,1765773,3171516
FXH11,03/08/2011,1612.5,1626.5,1581.5,1615.5,11,+0.69%,1393499,2954401
FXH11,03/07/2011,1602.5,1649.5,1583.5,1604.5,-14.,-0.86%,1549557,2899715
FXH11,03/04/2011,1658.5,1672.5,1594.5,1618.5,-20.,-1.22%,1649760,2939087
FXH11,03/03/2011,1649.5,1680.5,1626.5,1638.5,5,+0.31%,1683920,2901496
FXH11,03/02/2011,1623.5,1648.5,1612.5,1633.5,-22.,-1.33%,1713733,2895830
FXH11,03/01/2011,1706.5,1715.5,1629.5,1655.5,-30.,-1.78%,1479625,2725505
FXH11,02/28/2011,1655.5,1704.5,1639.5,1685.5,30,+1.81%,1667047,2882250
FXH11,02/25/2011,1630.5,1669.5,1625.5,1655.5,32,+1.97%,1232169,2592341
FXH11,02/24/2011,1627.5,1632.5,1595.5,1623.5,-8.,-0.49%,1172770,2585302
FXH11,02/23/2011,1643.5,1666.5,1607.5,1631.5,-29.,-1.75%,1498980,2704333
FXH11,02/22/2011,1675.5,1678.5,1628.5,1660.5,-24.,-1.42%,1633641,2786189
FXH11,02/21/2011,1737.5,1746.5,1678.5,1684.5,-55.,-3.16%,1801540,2969158
FXH11,02/18/2011,1744.5,1752.5,1719.5,1739.5,2,+0.12%,983327,2648598
FXH11,02/17/2011,1733.5,1746.5,1715.5,1737.5,-3.,-0.17%,1118196,2561750
FXH11,02/16/2011,1717.5,1749.5,1708.5,1740.5,38,+2.23%,1148287,2521640
FXH11,02/15/2011,1698.5,1714.5,1682.5,1702.5,10,+0.59%,1264500,2553439
FXH11,02/14/2011,1719.5,1724.5,1684.5,1692.5,-12.,-0.70%,1018285,2490987
FXH11,02/11/2011,1685.5,1715.5,1659.5,1704.5,6,+0.35%,929326,2506821
FXH11,02/10/2011,1709.5,1709.5,1663.5,1698.5,-5.,-0.29%,1151851,2603624
FXH11,02/09/2011,1713.5,1726.5,1698.5,1703.5,-7.,-0.41%,1343837,2636102
FXH11,02/08/2011,1705.5,1724.5,1692.5,1710.5,9,+0.53%,1045060,2460773
FXH11,02/07/2011,1685.5,1716.5,1675.5,1701.5,29,+1.73%,1031160,2456034
FXH11,02/04/2011,1679.5,1688.5,1659.5,1672.5,10,+0.60%,1094606,2557034
FXH11,02/03/2011,1676.5,1686.5,1648.5,1662.5,-21.,-1.25%,978930,2483924
FXH11,02/02/2011,1689.5,1697.5,1670.5,1683.5,8,+0.48%,1197050,2596416
FXH11,02/01/2011,1644.5,1692.5,1634.5,1675.5,43,+2.63%,1082395,2517000
FXH11,01/31/2011,1617.5,1646.5,1591.5,1632.5,2,+0.12%,1194324,2622590
