Symbol,Time,Open,High,Low,Last,Change,%Chg,Volume,"Open Int"
FXM24,"04/05/2024 12:00",4977,4978,4957,4965,-12.,-0.24%,23715,N/A
FXM24,"04/05/2024 08:00",4958,4978,4947,4977,20,+0.40%,378337,N/A
FXM24,"04/05/2024 04:00",4943,4963,4933,4957,13,+0.26%,266844,N/A
FXM24,"04/05/2024 00:00",4955,4967,4938,4944,-11.,-0.22%,212707,N/A
FXM24,"04/04/2024 20:00",4958,4959,4943,4955,-3.,-0.06%,10097,N/A
FXM24,"04/04/2024 16:00",4967,4967,4952,4958,-7.,-0.14%,3399,N/A
FXM24,"04/04/2024 12:00",5026,5027,4952,4965,-61.,-1.21%,100686,N/A
FXM24,"04/04/2024 08:00",5030,5038,5023,5026,-4.,-0.08%,211401,N/A
FXM24,"04/04/2024 04:00",5031,5035,5020,5030,-2.,-0.04%,132507,N/A
FXM24,"04/04/2024 00:00",5031,5043,5017,5032,1,+0.02%,124372,N/A
FXM24,"04/03/2024 20:00",5025,5032,5022,5031,7,+0.14%,4060,N/A
FXM24,"04/03/2024 16:00",5023,5027,5022,5024,6,+0.12%,2418,N/A
FXM24,"04/03/2024 12:00",5022,5028,5013,5018,-5.,-0.10%,32883,N/A
FXM24,"04/03/2024 08:00",5010,5028,5006,5023,14,+0.28%,256118,N/A
FXM24,"04/03/2024 04:00",5011,5024,5006,5009,-1.,-0.02%,131571,N/A
FXM24,"04/03/2024 00:00",4999,5016,4983,5010,11,+0.22%,140912,N/A
FXM24,"04/02/2024 20:00",4999,5004,4994,4999,0,0.00%,8762,N/A
FXM24,"04/02/2024 16:00",5003,5004,4994,4999,-10.,-0.20%,4244,N/A
FXM24,"04/02/2024 12:00",5002,5010,4994,5009,7,+0.14%,35328,N/A
FXM24,"04/02/2024 08:00",5028,5029,4991,5002,-27.,-0.54%,426375,N/A
FXM24,"04/02/2024 04:00",5053,5062,5028,5029,-24.,-0.47%,189593,N/A
FXM24,"04/02/2024 00:00",5048,5079,5044,5053,5,+0.10%,190904,N/A
FXM24,"04/01/2024 20:00",5050,5055,5047,5048,-2.,-0.04%,5917,N/A
FXM24,"04/01/2024 16:00",5042,5051,5037,5050,0,0.00%,4161,N/A
FXM24,"03/28/2024 16:00",5050,5050,5050,5050,3,+0.06%,10,N/A
FXM24,"03/28/2024 12:00",5047,5054,5040,5047,0,0.00%,53723,N/A
FXM24,"03/28/2024 08:00",5049,5053,5040,5047,-1.,-0.02%,340397,N/A
FXM24,"03/28/2024 04:00",5052,5063,5044,5048,-3.,-0.06%,195923,N/A
FXM24,"03/28/2024 00:00",5056,5058,5041,5051,-6.,-0.12%,95087,N/A
FXM24,"03/27/2024 20:00",5058,5060,5053,5057,-1.,-0.02%,5263,N/A
FXM24,"03/27/2024 16:00",5056,5058,5053,5058,1,+0.02%,1330,N/A
FXM24,"03/27/2024 12:00",5044,5059,5041,5057,13,+0.26%,48295,N/A
FXM24,"03/27/2024 08:00",5051,5053,5035,5044,-6.,-0.12%,290527,N/A
FXM24,"03/27/2024 04:00",5023,5051,5022,5050,27,+0.54%,132951,N/A
