Time,Open,High,Low,Last,Change,%Chg,Volume
04/20/2009,863.16,863.16,832.39,832.39,-37.21,-4.28%,0
04/17/2009,865.18,875.63,860.87,869.6,4.3,+0.50%,0
04/16/2009,854.54,870.35,847.04,865.3,13.24,+1.55%,0
04/15/2009,839.44,852.93,835.58,852.06,10.56,+1.25%,0
04/14/2009,856.88,856.88,840.25,841.5,-17.23,-2.01%,0
04/13/2009,855.33,864.31,845.35,858.73,2.17,+0.25%,0
04/09/2009,829.29,856.91,829.29,856.56,31.4,+3.81%,0
04/08/2009,816.76,828.42,814.84,825.16,9.61,+1.18%,0
04/07/2009,834.12,834.12,814.53,815.55,-19.93,-2.39%,0
04/06/2009,837.58,837.58,822.79,835.48,-7.02,-0.83%,0
04/03/2009,835.13,842.5,826.85,842.5,8.12,+0.97%,0
04/02/2009,814.53,845.61,814.53,834.38,23.3,+2.87%,0
04/01/2009,793.59,813.62,783.32,811.08,13.21,+1.66%,0
03/31/2009,790.88,810.48,790.88,797.87,10.34,+1.31%,0
03/30/2009,809.07,809.07,779.87,787.53,-28.41,-3.48%,0
03/27/2009,828.68,828.68,813.43,815.94,-16.92,-2.03%,0
03/26/2009,814.06,832.98,814.06,832.86,18.98,+2.33%,0
03/25/2009,806.81,826.78,791.37,813.88,7.63,+0.95%,0
03/24/2009,820.6,823.65,805.48,806.25,-16.67,-2.03%,0
03/23/2009,776.71,823.37,776.71,822.92,54.38,+7.08%,0
03/20/2009,784.58,788.91,766.2,768.54,-15.5,-1.98%,0
03/19/2009,797.92,803.24,781.82,784.04,-10.31,-1.30%,0
03/18/2009,776.01,801.4,765.64,794.35,16.23,+2.09%,0
03/17/2009,753.88,778.12,749.93,778.12,24.23,+3.21%,0
03/16/2009,758.84,774.53,753.37,753.89,-2.66,-0.35%,0
03/13/2009,750.74,758.29,742.46,756.55,5.81,+0.77%,0
03/12/2009,721.36,752.63,714.76,750.74,29.38,+4.07%,0
03/11/2009,719.6,731.92,713.85,721.36,1.76,+0.24%,0
03/10/2009,676.53,719.6,676.53,719.6,43.07,+6.37%,0
03/09/2009,676.53,695.27,672.88,676.53,-6.85,-1.00%,0
03/06/2009,682.55,699.09,666.79,683.38,0.83,+0.12%,0
03/05/2009,712.87,712.87,677.93,682.55,-30.32,-4.25%,0
03/04/2009,696.33,724.12,696.33,712.87,16.54,+2.38%,0
03/03/2009,700.82,711.67,692.3,696.33,-4.49,-0.64%,0
03/02/2009,735.09,735.09,700.82,700.82,-34.27,-4.66%,0
02/27/2009,752.83,752.83,734.52,735.09,-17.74,-2.36%,0
02/26/2009,764.9,779.42,751.75,752.83,-12.07,-1.58%,0
02/25/2009,773.14,780.12,752.89,764.9,-8.24,-1.07%,0
02/24/2009,743.33,775.49,743.33,773.14,29.81,+4.01%,0
02/23/2009,770.05,777.85,742.37,743.33,-26.72,-3.47%,0
02/20/2009,778.94,778.94,754.25,770.05,-8.89,-1.14%,0
02/19/2009,788.42,797.58,777.03,778.94,-9.48,-1.20%,0
02/18/2009,789.17,796.17,780.43,788.42,-0.75,-0.10%,0
02/17/2009,826.84,826.84,789.17,789.17,-37.67,-4.56%,0
02/13/2009,835.19,839.43,825.21,826.84,-8.35,-1.00%,0
02/12/2009,833.74,835.48,808.06,835.19,1.45,+0.17%,0
02/11/2009,827.16,838.22,822.3,833.74,6.58,+0.80%,0
02/10/2009,869.89,869.89,822.99,827.16,-42.73,-4.91%,0
02/09/2009,868.6,875.01,861.65,869.89,1.29,+0.15%,0
02/06/2009,845.85,870.75,845.42,868.6,22.75,+2.69%,0
02/05/2009,832.23,850.55,819.91,845.85,13.62,+1.64%,0
02/04/2009,838.51,851.85,829.18,832.23,-6.28,-0.75%,0
02/03/2009,825.44,842.6,821.98,838.51,13.07,+1.58%,0
02/02/2009,825.88,830.78,812.87,825.44,-0.44,-0.05%,0
01/30/2009,845.14,851.66,821.67,825.88,-19.26,-2.28%,0
01/29/2009,874.09,874.09,844.15,845.14,-28.95,-3.31%,0
01/28/2009,845.71,877.86,845.71,874.09,28.38,+3.36%,0
01/27/2009,836.57,850.45,835.4,845.71,9.14,+1.09%,0
01/26/2009,831.95,852.53,827.69,836.57,4.62,+0.56%,0
01/23/2009,827.5,838.61,806.07,831.95,4.45,+0.54%,0
01/22/2009,840.24,840.24,811.29,827.5,-12.74,-1.52%,0
01/21/2009,805.22,841.72,804.3,840.24,35.02,+4.35%,0
01/20/2009,850.12,850.12,804.47,805.22,-44.9,-5.28%,0
01/16/2009,843.74,858.13,830.66,850.12,6.38,+0.76%,0
01/15/2009,842.62,851.59,817.04,843.74,1.12,+0.13%,0
01/14/2009,871.79,871.79,836.93,842.62,-29.17,-3.35%,0
01/13/2009,870.26,877.02,862.02,871.79,1.53,+0.18%,0
01/12/2009,890.35,890.4,864.32,870.26,-20.09,-2.26%,0
01/09/2009,909.73,911.93,888.31,890.35,-19.38,-2.13%,0
01/08/2009,906.65,910,896.81,909.73,3.08,+0.34%,0
01/07/2009,934.7,934.7,902.37,906.65,-28.05,-3.00%,0
01/06/2009,927.45,943.85,927.28,934.7,7.25,+0.78%,0
01/05/2009,931.8,936.63,919.53,927.45,-4.35,-0.47%,0
01/02/2009,903.25,934.73,899.35,931.8,28.55,+3.16%,0
12/31/2008,890.64,910.32,889.67,903.25,12.61,+1.42%,0
12/30/2008,869.42,891.12,869.42,890.64,21.22,+2.44%,0
12/29/2008,872.8,873.7,857.07,869.42,-3.38,-0.39%,0
12/26/2008,868.15,873.74,866.52,872.8,4.65,+0.54%,0
12/24/2008,863.16,869.79,861.44,868.15,4.99,+0.58%,0
12/23/2008,871.63,880.44,860.1,863.16,-8.47,-0.97%,0
12/22/2008,887.88,887.88,857.09,871.63,-16.25,-1.83%,0
12/19/2008,885.28,905.47,883.02,887.88,2.6,+0.29%,0
12/18/2008,904.42,911.02,877.44,885.28,-19.14,-2.12%,0
12/17/2008,913.18,918.85,895.94,904.42,-8.76,-0.96%,0
12/16/2008,868.57,914.66,868.57,913.18,44.61,+5.14%,0
12/15/2008,879.73,884.63,857.72,868.57,-11.16,-1.27%,0
12/12/2008,873.59,883.24,851.35,879.73,6.14,+0.70%,0
12/11/2008,899.24,904.63,868.73,873.59,-25.65,-2.85%,0
12/10/2008,888.67,908.27,885.45,899.24,10.57,+1.19%,0
12/09/2008,909.7,916.26,885.38,888.67,-21.03,-2.31%,0
12/08/2008,876.07,918.57,876.07,909.7,33.63,+3.84%,0
12/05/2008,845.22,879.42,818.41,876.07,30.85,+3.65%,0
12/04/2008,870.74,875.6,833.6,845.22,-25.52,-2.93%,0
12/03/2008,848.81,873.12,827.6,870.74,21.93,+2.58%,0
12/02/2008,816.21,850.54,816.21,848.81,32.6,+3.99%,0
12/01/2008,896.24,896.24,815.69,816.21,-80.03,-8.93%,0
11/28/2008,887.68,896.25,881.21,896.24,8.56,+0.96%,0
11/26/2008,857.39,887.68,841.37,887.68,30.29,+3.53%,0
11/25/2008,851.81,868.94,834.99,857.39,5.58,+0.66%,0
11/24/2008,800.03,865.6,800.03,851.81,51.78,+6.47%,0
11/21/2008,752.44,801.2,741.02,800.03,47.59,+6.32%,0
11/20/2008,806.58,820.52,747.78,752.44,-54.14,-6.71%,0
11/19/2008,859.12,864.57,806.18,806.58,-52.54,-6.12%,0
11/18/2008,850.75,865.9,826.84,859.12,8.37,+0.98%,0
11/17/2008,873.29,882.29,848.98,850.75,-22.54,-2.58%,0
11/14/2008,911.29,916.88,869.88,873.29,-38.,-4.17%,0
11/13/2008,852.3,913.01,818.69,911.29,58.99,+6.92%,0
11/12/2008,898.95,898.95,850.48,852.3,-46.65,-5.19%,0
11/11/2008,919.21,919.21,884.9,898.95,-20.26,-2.20%,0
11/10/2008,930.99,951.95,907.47,919.21,-11.78,-1.27%,0
11/07/2008,904.88,931.46,904.88,930.99,26.11,+2.89%,0
11/06/2008,952.77,952.77,899.73,904.88,-47.89,-5.03%,0
11/05/2008,1005.75,1005.75,949.86,952.77,-52.98,-5.27%,0
11/04/2008,966.3,1007.51,966.3,1005.75,39.45,+4.08%,0
11/03/2008,968.75,975.57,958.82,966.3,-2.45,-0.25%,0
10/31/2008,954.09,984.38,944.59,968.75,14.66,+1.54%,0
10/30/2008,930.09,963.23,928.5,954.09,24,+2.58%,0
10/29/2008,940.51,969.97,922.26,930.09,-10.42,-1.11%,0
10/28/2008,848.92,940.51,845.27,940.51,91.59,+10.79%,0
10/27/2008,876.77,893.78,846.75,848.92,-27.85,-3.18%,0
10/24/2008,908.11,908.11,852.85,876.77,-31.34,-3.45%,0
10/23/2008,896.78,922.83,858.44,908.11,11.33,+1.26%,0
10/22/2008,955.05,955.05,875.81,896.78,-58.27,-6.10%,0
10/21/2008,985.4,985.44,952.47,955.05,-30.35,-3.08%,0
10/20/2008,940.55,985.4,940.55,985.4,44.85,+4.77%,0
10/17/2008,946.43,984.64,918.74,940.55,-5.88,-0.62%,0
10/16/2008,907.84,947.71,865.83,946.43,38.59,+4.25%,0
10/15/2008,998.01,998.01,903.99,907.84,-90.17,-9.03%,0
10/14/2008,1003.35,1044.31,972.07,998.01,-5.34,-0.53%,0
10/13/2008,899.22,1006.93,899.22,1003.35,104.13,+11.58%,0
10/10/2008,909.92,936.36,839.8,899.22,-10.7,-1.18%,0
10/09/2008,984.94,1005.25,909.19,909.92,-75.02,-7.62%,0
10/08/2008,996.23,1021.06,970.97,984.94,-11.29,-1.13%,0
10/07/2008,1056.89,1072.91,996.23,996.23,-60.66,-5.74%,0
10/06/2008,1099.23,1099.23,1007.97,1056.89,-42.34,-3.85%,0
10/03/2008,1114.28,1153.82,1098.14,1099.23,-15.05,-1.35%,0
10/02/2008,1161.06,1161.06,1111.43,1114.28,-46.78,-4.03%,0
10/01/2008,1164.74,1167.03,1140.77,1161.06,-3.68,-0.32%,0
09/30/2008,1106.42,1168.03,1106.42,1164.74,58.32,+5.27%,0
09/29/2008,1213.27,1213.27,1106.42,1106.42,-106.85,-8.81%,0
09/26/2008,1209.18,1215.77,1187.54,1213.27,4.09,+0.34%,0
09/25/2008,1185.87,1220.03,1185.87,1209.18,23.31,+1.97%,0
09/24/2008,1188.22,1197.41,1179.79,1185.87,-2.35,-0.20%,0
09/23/2008,1207.09,1221.15,1187.06,1188.22,-18.87,-1.56%,0
09/22/2008,1255.08,1255.37,1205.61,1207.09,-47.99,-3.82%,0
09/19/2008,1206.51,1265.12,1206.51,1255.08,48.57,+4.03%,0
09/18/2008,1156.39,1211.14,1133.5,1206.51,50.12,+4.33%,0
09/17/2008,1213.6,1213.6,1155.88,1156.39,-57.21,-4.71%,0
09/16/2008,1192.7,1214.07,1169.28,1213.6,20.9,+1.75%,0
