Time,Open,High,Low,Last,Change,%Chg,Volume
"04/05/2024 12:00",5212.26,5222.18,5188.88,5202.94,-9.62,-0.18%,0
"04/05/2024 08:00",5158.95,5214.79,5157.21,5212.56,65.35,+1.27%,0
"04/04/2024 16:00",5147.46,5147.46,5147.14,5147.21,0.13,0.00%,0
"04/04/2024 12:00",5251.03,5256.59,5146.06,5147.08,-103.86,-1.98%,0
"04/04/2024 08:00",5244.05,5254.95,5242.1,5250.94,39.45,+0.76%,0
"04/03/2024 16:00",5212.9,5212.9,5211.49,5211.49,-1.69,-0.03%,0
"04/03/2024 12:00",5220.53,5226.92,5198.04,5213.18,-7.39,-0.14%,0
"04/03/2024 08:00",5194.37,5228.75,5194.37,5220.57,14.76,+0.28%,0
"04/02/2024 16:00",5205.84,5206.05,5205.81,5205.81,-0.06,0.00%,0
"04/02/2024 12:00",5189.89,5208.34,5187.9,5205.87,15.98,+0.31%,0
"04/02/2024 08:00",5204.29,5204.29,5184.05,5189.89,-53.88,-1.03%,0
"04/01/2024 16:00",5243.16,5243.77,5243.16,5243.77,0.36,+0.01%,0
"04/01/2024 12:00",5230.32,5247.24,5229.2,5243.41,13.1,+0.25%,0
"04/01/2024 08:00",5257.97,5263.95,5230.07,5230.31,-24.04,-0.46%,0
"03/28/2024 16:00",5255.3,5255.3,5254.26,5254.35,-1.25,-0.02%,0
"03/28/2024 12:00",5254.99,5264.85,5248.39,5255.6,0.58,+0.01%,0
"03/28/2024 08:00",5248.03,5256.05,5245.82,5255.02,6.53,+0.12%,0
"03/27/2024 16:00",5249.26,5249.26,5248.49,5248.49,-0.64,-0.01%,0
"03/27/2024 12:00",5214.29,5249.19,5213.92,5249.13,34.83,+0.67%,0
"03/27/2024 08:00",5226.31,5235.89,5214.19,5214.3,10.72,+0.21%,0
"03/26/2024 16:00",5204.1,5204.1,5203.56,5203.58,-0.6,-0.01%,0
"03/26/2024 12:00",5234.01,5234.7,5203.42,5204.18,-29.86,-0.57%,0
"03/26/2024 08:00",5228.85,5235.16,5226.91,5234.04,15.85,+0.30%,0
"03/25/2024 16:00",5218.75,5218.75,5218.19,5218.19,-0.87,-0.02%,0
"03/25/2024 12:00",5225.98,5229.09,5216.32,5219.06,-6.93,-0.13%,0
"03/25/2024 08:00",5219.52,5228.95,5216.09,5225.99,-8.19,-0.16%,0
"03/22/2024 16:00",5233.91,5234.18,5233.91,5234.18,-0.09,0.00%,0
"03/22/2024 12:00",5237.11,5246.09,5230.04,5234.27,-2.78,-0.05%,0
"03/22/2024 08:00",5242.48,5244.56,5229.87,5237.05,-4.48,-0.09%,0
"03/21/2024 16:00",5240.9,5241.54,5240.9,5241.53,0.51,+0.01%,0
"03/21/2024 12:00",5257.98,5261.1,5240.66,5241.02,-17.07,-0.32%,0
"03/21/2024 08:00",5253.43,5260.45,5247.82,5258.09,33.47,+0.64%,0
"03/20/2024 16:00",5223.38,5224.62,5223.38,5224.62,1.33,+0.03%,0
"03/20/2024 12:00",5179.44,5226.19,5171.55,5223.29,43.89,+0.85%,0
"03/20/2024 08:00",5181.69,5184.88,5172.58,5179.4,0.89,+0.02%,0
"03/19/2024 16:00",5178.18,5178.53,5178.18,5178.51,0.5,+0.01%,0
"03/19/2024 12:00",5152.53,5180.31,5151.07,5178.01,25.35,+0.49%,0
"03/19/2024 08:00",5139.09,5154.68,5131.59,5152.66,3.24,+0.06%,0
"03/18/2024 16:00",5149.45,5149.57,5149.39,5149.42,0,0.00%,0
"03/18/2024 12:00",5162.48,5165.47,5145.47,5149.42,-13.2,-0.26%,0
"03/18/2024 08:00",5154.77,5175.6,5154.77,5162.62,45.53,+0.89%,0
"03/15/2024 16:00",5117.17,5117.22,5116.93,5117.09,-0.33,-0.01%,0
"03/15/2024 12:00",5117.39,5125.47,5104.35,5117.42,0.02,0.00%,0
"03/15/2024 08:00",5123.31,5136.86,5108.95,5117.4,-33.08,-0.64%,0
"03/14/2024 16:00",5151.52,5151.52,5150.48,5150.48,-0.95,-0.02%,0
"03/14/2024 12:00",5154.51,5156.53,5123.3,5151.43,-3.03,-0.06%,0
"03/14/2024 08:00",5175.14,5176.85,5138.27,5154.46,-10.85,-0.21%,0
"03/13/2024 16:00",5165.56,5165.56,5165.31,5165.31,-0.3,-0.01%,0
"03/13/2024 12:00",5170.51,5179.14,5151.88,5165.61,-4.83,-0.09%,0
"03/13/2024 08:00",5173.49,5176.55,5162.85,5170.44,-4.83,-0.09%,0
"03/12/2024 16:00",5174.87,5175.27,5174.87,5175.27,0.33,+0.01%,0
"03/12/2024 12:00",5165.29,5179.87,5142.78,5174.94,9.62,+0.19%,0
"03/12/2024 08:00",5134.3,5171.64,5114.48,5165.32,47.38,+0.93%,0
"03/11/2024 16:00",5118.79,5118.79,5117.93,5117.94,-0.52,-0.01%,0
"03/11/2024 12:00",5114.6,5124.66,5106.59,5118.46,3.75,+0.07%,0
"03/11/2024 08:00",5111.96,5115.44,5091.14,5114.71,-8.98,-0.18%,0
"03/08/2024 16:00",5123.89,5123.89,5123.69,5123.69,-0.68,-0.01%,0
"03/08/2024 12:00",5146.25,5154.99,5117.5,5124.37,-22.08,-0.43%,0
"03/08/2024 08:00",5164.46,5189.26,5145.77,5146.45,-10.91,-0.21%,0
"03/07/2024 16:00",5157.99,5157.99,5157.19,5157.36,-0.92,-0.02%,0
"03/07/2024 12:00",5153.35,5165.62,5147.31,5158.28,4.83,+0.09%,0
"03/07/2024 08:00",5132.38,5155.37,5128.21,5153.45,48.69,+0.95%,0
"03/06/2024 16:00",5105.62,5105.62,5104.75,5104.76,-0.97,-0.02%,0
"03/06/2024 12:00",5120.02,5127.97,5093.13,5105.73,-14.17,-0.28%,0
"03/06/2024 08:00",5108.03,5123.44,5092.22,5119.9,41.25,+0.81%,0
"03/05/2024 16:00",5079.24,5079.24,5078.64,5078.65,-0.21,0.00%,0
"03/05/2024 12:00",5084.21,5092.65,5056.82,5078.86,-5.22,-0.10%,0
"03/05/2024 08:00",5110.52,5114.54,5077.82,5084.08,-46.87,-0.91%,0
"03/04/2024 16:00",5130.97,5131.03,5130.95,5130.95,-0.09,0.00%,0
"03/04/2024 12:00",5134.93,5149.67,5129.62,5131.04,-3.91,-0.08%,0
"03/04/2024 08:00",5130.99,5136.94,5127.18,5134.95,-2.13,-0.04%,0
"03/01/2024 16:00",5137.43,5137.43,5137.08,5137.08,0.04,0.00%,0
"03/01/2024 12:00",5119.58,5140.33,5115.8,5137.04,17.48,+0.34%,0
"03/01/2024 08:00",5098.51,5121.68,5094.16,5119.56,23.29,+0.46%,0
"02/29/2024 16:00",5097.27,5097.27,5095.78,5096.27,-1.27,-0.02%,0
"02/29/2024 12:00",5074.71,5104.99,5073.43,5097.54,22.83,+0.45%,0
"02/29/2024 08:00",5085.36,5096.35,5061.89,5074.71,4.95,+0.10%,0
"02/28/2024 16:00",5070.57,5070.57,5069.76,5069.76,-0.51,-0.01%,0
"02/28/2024 12:00",5074.69,5076.6,5061.11,5070.27,-4.44,-0.09%,0
"02/28/2024 08:00",5067.2,5077.37,5058.35,5074.71,-3.47,-0.07%,0
"02/27/2024 16:00",5079.21,5079.21,5078.18,5078.18,-1.3,-0.03%,0
"02/27/2024 12:00",5068.51,5080.69,5057.29,5079.48,10.94,+0.22%,0
"02/27/2024 08:00",5074.6,5076.59,5064.13,5068.54,-0.99,-0.02%,0
"02/26/2024 16:00",5069.16,5069.53,5069.16,5069.53,0.44,+0.01%,0
"02/26/2024 12:00",5087.17,5088.7,5068.91,5069.09,-18.07,-0.36%,0
"02/26/2024 08:00",5093,5097.66,5080.28,5087.16,-1.64,-0.03%,0
"02/23/2024 16:00",5089.25,5089.25,5088.78,5088.8,-0.51,-0.01%,0
